Hero,Match,Cosine_Similarity
D.Va,Winston,0.9518299872286995
D.Va,Hazard,0.8644569184274765
D.Va,Mauga,0.6818620400083163
D.Va,Reinhardt,0.6666395411982404
D.Va,Ramattra,0.6308487418625701
Doomfist,Wrecking Ball,0.9197454242772181
Doomfist,Lúcio,0.6566736762692157
Doomfist,Kiriko,0.6305741795376245
Doomfist,Echo,0.5715251864819436
Doomfist,Genji,0.5362596878309006
Hazard,Junker Queen,0.9082982912618394
Hazard,Mauga,0.8699878757356957
Hazard,D.Va,0.8644569184274765
Hazard,Ramattra,0.7705199649436649
Hazard,Roadhog,0.7578012644041769
Junker Queen,Hazard,0.9082982912618394
Junker Queen,Mauga,0.8419239606762842
Junker Queen,Roadhog,0.7997784533456165
Junker Queen,Ramattra,0.7434116897839708
Junker Queen,Wrecking Ball,0.7321623599590285
Mauga,Roadhog,0.9764424203013511
Mauga,Ramattra,0.9644562759588559
Mauga,Orisa,0.9528815254294882
Mauga,Hazard,0.8699878757356957
Mauga,Junker Queen,0.8419239606762842
Orisa,Roadhog,0.9633829559030851
Orisa,Mauga,0.9528815254294882
Orisa,Ramattra,0.9118808211607391
Orisa,Reinhardt,0.8568206551992182
Orisa,Mei,0.7249137817077682
Ramattra,Roadhog,0.9653684529781068
Ramattra,Mauga,0.9644562759588559
Ramattra,Orisa,0.9118808211607391
Ramattra,Reinhardt,0.9015344813428385
Ramattra,Sigma,0.8251678916812998
Reinhardt,Ramattra,0.9015344813428385
Reinhardt,Orisa,0.8568206551992182
Reinhardt,Mauga,0.8406512686910907
Reinhardt,Roadhog,0.8201387824026296
Reinhardt,Zarya,0.7262871086889944
Roadhog,Mauga,0.9764424203013511
Roadhog,Ramattra,0.9653684529781068
Roadhog,Orisa,0.9633829559030851
Roadhog,Reinhardt,0.8201387824026296
Roadhog,Junker Queen,0.7997784533456165
Sigma,Zarya,0.9447036497412042
Sigma,Ramattra,0.8251678916812998
Sigma,Roadhog,0.7836228747979725
Sigma,Mauga,0.6975967915974437
Sigma,Orisa,0.6140225561913704
Winston,D.Va,0.9518299872286995
Winston,Hazard,0.7200382861048457
Winston,Wrecking Ball,0.6323813177179908
Winston,Reinhardt,0.49518604884681033
Winston,Mauga,0.45129310848418536
Wrecking Ball,Doomfist,0.9197454242772181
Wrecking Ball,Junker Queen,0.7321623599590285
Wrecking Ball,Hazard,0.7179186984571828
Wrecking Ball,Winston,0.6323813177179908
Wrecking Ball,D.Va,0.5877292245672576
Zarya,Sigma,0.9447036497412042
Zarya,Ramattra,0.8101707808388662
Zarya,Roadhog,0.7504673444256492
Zarya,Reinhardt,0.7262871086889944
Zarya,Mauga,0.6464368062711365
Ashe,Hanzo,1.0000000000000002
Ashe,Widowmaker,0.9933104898869952
Ashe,Freja,0.9642269022706209
Ashe,Cassidy,0.9033478331972316
Ashe,Sojourn,0.8600507357663832
Bastion,Torbjörn,0.8891793736031506
Bastion,Symmetra,0.8620144925332587
Bastion,Brigitte,0.6929240154917169
Bastion,Lifeweaver,0.5692147779092469
Bastion,Reinhardt,0.47958072939187063
Cassidy,Widowmaker,0.9447948439861982
Cassidy,Zenyatta,0.926218366597811
Cassidy,Hanzo,0.9033478331972316
Cassidy,Ashe,0.9033478331972316
Cassidy,Ana,0.8485659195679659
Echo,Tracer,0.9846527723276683
Echo,Genji,0.9792495601528126
Echo,Sojourn,0.9005357019728214
Echo,Lúcio,0.8477295856696808
Echo,Pharah,0.7913413948680977
Freja,Hanzo,0.9642269022706209
Freja,Ashe,0.9642269022706209
